name,country,lat,lon,timezone,population,selection_reason
Guangzhou,China,23.11667,113.25,Asia/Shanghai,16096724,mega-city
Foshan,China,23.02677,113.13148,Asia/Shanghai,9042509,mega-city
Ahmedabad,India,23.02579,72.58727,Asia/Kolkata,6357693,mega-city
Dongguan,China,23.01797,113.74866,Asia/Shanghai,9644871,mega-city
Nanning,China,22.81667,108.31667,Asia/Shanghai,3839800,mega-city
Kolkata,India,22.56263,88.36304,Asia/Kolkata,4631392,mega-city
Bao'an,China,22.55213,113.88288,Asia/Shanghai,4476554,mega-city
Shenzhen,China,22.54554,114.0683,Asia/Shanghai,17494398,mega-city
Zhongshan,China,22.52306,113.37912,Asia/Shanghai,3841873,mega-city
New Territories,Hong Kong,22.42441,114.11095,Asia/Hong_Kong,3984077,mega-city
Chattogram,Bangladesh,22.3384,91.83168,Asia/Dhaka,3920222,mega-city
Hong Kong,Hong Kong,22.27832,114.17469,Asia/Hong_Kong,7396076,mega-city
Jeddah,Saudi Arabia,21.49012,39.18624,Asia/Riyadh,4697000,mega-city
Surat,India,21.19594,72.83023,Asia/Kolkata,4591246,mega-city
Hanoi,Vietnam,21.0245,105.84117,Asia/Bangkok,8053663,mega-city
Nay Pyi Taw,Myanmar,19.745,96.12972,Asia/Yangon,925000,capital
Mexico City,Mexico,19.42847,-99.12766,America/Mexico_City,12294193,mega-city
Mumbai,India,19.07283,72.88261,Asia/Kolkata,12691836,mega-city
Port-au-Prince,Haiti,18.54349,-72.33881,America/Port-au-Prince,1234742,capital
Pune,India,18.51957,73.85535,Asia/Kolkata,3124458,mega-city
Santo Domingo,Dominican Republic,18.47186,-69.89232,America/Santo_Domingo,2201941,capital
Vientiane,Laos,17.96667,102.6,Asia/Vientiane,840940,capital
Hyderabad,India,17.38405,78.45636,Asia/Kolkata,6993262,mega-city
Yangon,Myanmar,16.80528,96.15611,Asia/Yangon,4477638,mega-city
Khartoum,Sudan,15.55177,32.53241,Africa/Khartoum,1974647,capital
Sanaa,Yemen,15.35452,44.20646,Asia/Aden,1937451,capital
Asmara,Eritrea,15.33805,38.93184,Africa/Asmara,563930,capital
Dakar,Senegal,14.6937,-17.44406,Africa/Dakar,2646503,capital
Quezon City,Philippines,14.6488,121.0509,Asia/Manila,3084270,mega-city
Guatemala City,Guatemala,14.64072,-90.51327,America/Guatemala,994938,capital
Manila,Philippines,14.6042,120.9822,Asia/Manila,1600000,capital
Tegucigalpa,Honduras,14.0818,-87.20681,America/Tegucigalpa,850848,capital
Bangkok,Thailand,13.75398,100.50144,Asia/Bangkok,5104476,mega-city
San Salvador,El Salvador,13.68935,-89.18718,America/El_Salvador,525990,capital
Niamey,Niger,13.51366,2.1098,Africa/Niamey,1323691,capital
Chennai,India,13.08784,80.27847,Asia/Kolkata,4681087,mega-city
Bengaluru,India,12.97194,77.59369,Asia/Kolkata,8495492,mega-city
Bamako,Mali,12.60915,-7.97522,Africa/Bamako,4227569,mega-city
Ouagadougou,Burkina Faso,12.36566,-1.53388,Africa/Ouagadougou,2415266,capital
Managua,Nicaragua,12.13282,-86.2504,America/Managua,973087,capital
N'Djamena,Chad,12.10672,15.0444,Africa/Ndjamena,1359526,capital
Kano,Nigeria,12.00012,8.51672,Africa/Lagos,4910000,mega-city
Phnom Penh,Cambodia,11.56245,104.91601,Asia/Phnom_Penh,1573544,capital
Ho Chi Minh City,Vietnam,10.82302,106.62965,Asia/Ho_Chi_Minh,14002598,mega-city
Caracas,Venezuela,10.48801,-66.87919,America/Caracas,3000000,capital
Conakry,Guinea,9.53795,-13.67729,Africa/Conakry,1928389,capital
Abuja,Nigeria,9.05785,7.49508,Africa/Lagos,2690000,capital
Addis Ababa,Ethiopia,9.02497,38.74689,Africa/Addis_Ababa,3860000,mega-city
Freetown,Sierra Leone,8.48714,-13.2356,Africa/Freetown,802639,capital
Ibadan,Nigeria,7.37756,3.90591,Africa/Lagos,3649000,mega-city
Colombo,Sri Lanka,6.93548,79.84868,Asia/Colombo,648034,capital
Yamoussoukro,Ivory Coast,6.82055,-5.27674,Africa/Abidjan,275686,capital
Porto-Novo,Benin,6.49646,2.60359,Africa/Porto-Novo,264320,capital
Lagos,Nigeria,6.45407,3.39467,Africa/Lagos,15388000,mega-city
Lomé,Togo,6.12874,1.22154,Africa/Lome,2188376,capital
Accra,Ghana,5.55602,-0.1969,Africa/Accra,1963264,capital
Abidjan,Ivory Coast,5.35444,-4.00167,Africa/Abidjan,6321017,mega-city
Juba,South Sudan,4.85165,31.58247,Africa/Juba,450000,capital
Bogotá,Colombia,4.60971,-74.08175,America/Bogota,7674366,mega-city
Yaoundé,Cameroon,3.86667,11.51667,Africa/Douala,1299369,capital
Kuala Lumpur,Malaysia,3.1412,101.68653,Asia/Kuala_Lumpur,1453975,capital
Mogadishu,Somalia,2.03711,45.34375,Africa/Mogadishu,2587183,capital
Singapore,Singapore,1.28967,103.85007,Asia/Singapore,5638700,mega-city
Kampala,Uganda,0.31628,32.58219,Africa/Kampala,1680600,capital
Quito,Ecuador,-0.22985,-78.52495,America/Guayaquil,2781641,capital
Nairobi,Kenya,-1.28333,36.81667,Africa/Nairobi,4397073,mega-city
Kigali,Rwanda,-1.94995,30.05885,Africa/Kigali,1132686,capital
Gitega,Burundi,-3.42708,29.92463,Africa/Bujumbura,64904,capital
